,Date,Open,High,Low,Close,Adj Close,Volume
68,2020-04-21,30.700001,30.900000,29.700001,29.750000,25.857357,2138115
69,2020-04-22,29.450001,30.049999,29.150000,29.950001,26.031189,1557104
70,2020-04-23,30.150000,30.500000,30.000000,30.350000,26.378851,1633845
71,2020-04-24,31.650000,33.250000,31.600000,32.599998,28.334446,7853849
72,2020-04-27,32.599998,33.000000,32.400002,32.900002,28.595196,3551636
73,2020-04-28,32.950001,33.099998,32.500000,32.950001,28.638653,2952379
74,2020-04-29,33.200001,33.900002,33.150002,33.500000,29.116688,4799032
75,2020-04-30,33.849998,34.000000,33.500000,33.799999,29.377434,2989161
76,2020-05-04,33.000000,34.599998,32.799999,34.099998,29.638178,4328559
77,2020-05-05,34.500000,34.900002,34.150002,34.700001,30.159676,4019960
78,2020-05-06,34.799999,35.250000,34.299999,34.799999,30.246588,3309020
79,2020-05-07,34.799999,35.049999,34.500000,34.750000,30.203133,2884962
80,2020-05-08,35.000000,35.049999,34.599998,35.000000,30.420420,2773777
81,2020-05-11,35.200001,36.450001,35.150002,36.250000,31.506863,5788410
82,2020-05-12,36.099998,36.200001,35.549999,35.950001,31.246119,3313025
83,2020-05-13,35.950001,36.299999,34.799999,35.500000,30.854996,12071973
84,2020-05-14,35.400002,35.450001,34.549999,34.549999,30.029301,4303334
85,2020-05-15,35.049999,35.349998,34.400002,34.950001,30.376961,2575362
86,2020-05-18,35.200001,35.950001,35.049999,35.150002,30.550793,3524445
87,2020-05-19,35.450001,35.599998,34.900002,35.000000,30.420420,2277002
88,2020-05-20,35.049999,35.150002,34.599998,35.000000,30.420420,1746238
89,2020-05-21,35.200001,35.500000,35.099998,35.400002,30.768084,2020683
90,2020-05-22,35.400002,35.450001,35.200001,35.200001,30.594252,1651124
91,2020-05-25,35.450001,35.450001,35.000000,35.349998,30.724623,1007178
92,2020-05-26,35.500000,35.650002,35.250000,35.400002,30.768084,2233183
93,2020-05-27,35.500000,35.950001,35.200001,35.750000,31.072287,2147818
94,2020-05-28,36.299999,36.950001,36.200001,36.799999,31.984898,7213727
95,2020-05-29,37.000000,37.450001,36.700001,37.250000,32.376019,5199580
96,2020-06-01,37.500000,37.799999,37.299999,37.700001,32.767139,4155795
97,2020-06-02,37.750000,38.200001,37.750000,38.150002,33.158257,4088612
